Item,Category,Calories_per_100g,Protein_g,Carbs_g,Fat_g,Taste_Rasa,Virya,Vipaka,Dosha_Effects
Rice (white),grains,130,2.7,28,0.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Rice (brown),grains,471,6.8,77.2,12.6,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Wheat (atta),grains,509,2.3,5.2,24.6,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Jowar (sorghum),grains,74,3,64.9,47.5,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bajra (pearl millet),grains,107,19.9,9.5,38.2,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Ragi (finger millet),grains,251,15.5,30.4,45.4,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Barley,grains,324,17.2,79.2,15.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Chickpea (kabuli),legumes,364,19,61,6,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Chana dal,legumes,81,12.2,59.2,47.4,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Toor dal (arhar),legumes,232,12.5,21.2,4.1,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Moong dal,legumes,265,3.5,6,0.1,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Urad dal,legumes,481,13.8,37.6,1.6,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Kidney bean (rajma),legumes,315,14.1,56.2,22.7,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Black gram,legumes,259,18.5,63,31.3,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Milk (cow),dairy,60,3.2,5,3.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Curd (yogurt),dairy,222,8.5,43.6,32.4,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Paneer,dairy,292,16.5,5.7,8.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Ghee,dairy,334,11.9,65.9,46.1,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Buttermilk (chaas),dairy,469,2.5,55.1,35,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Apple,fruit,52,0.3,14,0.2,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Banana (ripe),fruit,298,10,39.5,4,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Mango (ripe),fruit,60,17.8,58.8,30.2,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Guava,fruit,46,1.8,77,41.8,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Papaya,fruit,41,20,53.8,13.5,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Orange,fruit,61,15.3,14,25.9,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Pineapple,fruit,472,18.3,14.5,29.3,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Pomegranate,fruit,523,19.4,37.6,20.4,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Lychee,fruit,348,13.4,68.6,16.5,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Custard apple,fruit,527,5.8,75.6,40.7,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Spinach (palak),vegetable,23,2.9,3.6,0.4,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Fenugreek (methi),vegetable,583,0.7,7,12.6,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Mustard greens (sarson),vegetable,138,19.4,32.3,25.7,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Bottle gourd (lauki),vegetable,21,13.2,43.4,20.7,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Bitter gourd (karela),vegetable,212,10.4,49.8,24.9,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Okra (bhindi),vegetable,472,15.2,16.3,27.5,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Brinjal (eggplant),vegetable,314,8.8,55.9,6.1,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Tomato,vegetable,265,14.2,24.9,0.7,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Carrot,vegetable,437,1.9,79.4,45.6,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Potato,vegetable,492,18.9,51.8,7.7,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Turmeric (haldi),spice,312,9.7,67.1,3.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Cumin (jeera),spice,375,17.8,44.2,22.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Coriander (dhaniya),spice,318,10.2,21.9,41.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Mustard seed,spice,503,4.9,44.1,19.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Fenugreek seed,spice,540,14.9,10.9,3.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Asafoetida (hing),spice,444,6.8,63,13.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Black pepper,spice,255,10.4,64,3.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Cardamom,spice,22,5.7,23.9,29.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Clove,spice,521,17.3,35.7,24.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Nutmeg,spice,360,11,43.5,22.8,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Mace,spice,349,17.4,78.5,11.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bay leaf,spice,412,4.7,62,2.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Cinnamon,spice,504,14.1,64.9,19.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Star anise,spice,175,9.9,3,25.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Fennel seed,spice,359,17.4,69.9,22,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Carom seed (ajwain),spice,558,18.2,1.2,7.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Nigella seed (kalonji),spice,178,1.5,62.5,13.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Dry ginger,spice,427,13,68.1,42.6,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Saffron,spice,566,7.6,25.3,35.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Tamarind,spice,519,17.4,2.9,3.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Dry red chilli,spice,314,19.9,59.7,21.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Green chilli,spice,120,15.2,56.3,5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Curry leaf powder,spice,190,13.9,72.3,2.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Almond,nuts_seeds,579,21.2,21.6,49.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Cashew,nuts_seeds,77,5.9,30,7.3,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Peanut (groundnut),nuts_seeds,563,8.2,54.5,9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Sesame seed (til),nuts_seeds,199,1.6,69.7,31,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Flaxseed,nuts_seeds,266,10,46.7,11.6,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Mustard oil,oil,884,0,0,100,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Coconut oil,oil,280,9.2,53.3,44.9,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Groundnut oil,oil,496,18,54.2,7.9,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Sesame oil,oil,472,18.9,79,15,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Samosa,snack,262,6,31,14,Mixed,Heating,Pungent,Increases Kapha and Pitta
Pakora,snack,454,13.8,36.5,15.1,Mixed,Heating,Pungent,Increases Kapha and Pitta
Idli,snack,413,17.1,8.5,19.1,Mixed,Heating,Pungent,Increases Kapha and Pitta
Dosa,snack,387,11.5,79.4,14.8,Mixed,Heating,Pungent,Increases Kapha and Pitta
Poha,snack,425,5.5,45.3,34.3,Mixed,Heating,Pungent,Increases Kapha and Pitta
Upma,snack,70,18.2,59.6,41.6,Mixed,Heating,Pungent,Increases Kapha and Pitta
Paratha (plain),snack,313,15.5,18.4,40.1,Mixed,Heating,Pungent,Increases Kapha and Pitta
Chapati,snack,244,12.7,49.7,33.9,Mixed,Heating,Pungent,Increases Kapha and Pitta
Gulab jamun,sweet,310,6,40,12,Sweet,Heating,Sweet,Increases Kapha and Pitta
Jalebi,sweet,160,12.6,72.3,32.3,Sweet,Heating,Sweet,Increases Kapha and Pitta
Ladoo (besan),sweet,336,15.8,2.7,18.2,Sweet,Heating,Sweet,Increases Kapha and Pitta
Kheer (rice pudding),sweet,154,1.8,23.6,37.4,Sweet,Heating,Sweet,Increases Kapha and Pitta
Tea (chai),beverage,1,0.1,0.1,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Coffee,beverage,199,4,62.9,43.8,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Lassi (sweet),beverage,394,10.6,73.1,41.5,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Tender coconut water,beverage,283,18.3,75.5,48.4,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Lemon water,beverage,322,14.9,27.1,5.8,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
North Indian Ladoo (besan),sweet,97,2.8,77.3,43,Sweet,Heating,Sweet,Increases Kapha and Pitta
Gujarati Jowar (sorghum),grains,426,19.3,64.4,18.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Punjabi Mustard greens (sarson),vegetable,424,0.3,42.9,22.7,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Ghee,dairy,288,11.7,65.8,47,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese Tender coconut water,beverage,130,13.5,37.7,31,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Hyderabadi Urad dal,legumes,594,6.6,48.8,32.4,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
South Indian Carom seed (ajwain),spice,495,18.2,24.2,20.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Jowar (sorghum),grains,163,0.9,3,49.8,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Punjabi Lychee,fruit,138,1.9,71,6.8,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Peanut (groundnut),nuts_seeds,484,7.4,76,34.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Jowar (sorghum),grains,573,8.4,59.4,7.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
