Item,Category,Calories_per_100g,Protein_g,Carbs_g,Fat_g,Taste_Rasa,Virya,Vipaka,Dosha_Effects
Rice (white),grains,133.2,2.67,29.09,0.45,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Rice (brown),grains,109.7,2.55,25.18,0.98,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Wheat (atta),grains,319.3,13.77,70,2.42,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Jowar (sorghum),grains,333,8.81,64.55,3.17,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bajra (pearl millet),grains,342.7,11.89,63.35,4.51,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Ragi (finger millet),grains,352,7.17,72.29,1.35,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Barley,grains,344.4,12.61,67.96,2.36,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Chickpea (kabuli),legumes,353.1,18.56,58.8,6.78,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Chana dal,legumes,359.8,19.22,62.96,4.12,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Toor dal (arhar),legumes,353.7,18.55,53.38,2.84,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Moong dal,legumes,359.8,24.33,57.6,1.37,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Urad dal,legumes,321.3,23.56,56.4,1.72,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Kidney bean (rajma),legumes,338.7,20.61,61.17,0.76,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Black gram,legumes,329.5,23.08,59.46,1.6,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Milk (cow),dairy,57.5,3.12,5.17,3.53,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Curd (yogurt),dairy,59.5,3.45,4.15,3.02,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Paneer,dairy,275.8,20.29,1.16,22.26,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Ghee,dairy,916.3,0,0.18,110.77,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Buttermilk (chaas),dairy,360.4,13.05,56.47,5.29,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Apple,fruit,52.2,0.27,14.08,0,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Banana (ripe),fruit,88,1.14,25.04,0.25,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Mango (ripe),fruit,57.6,0.75,15.82,0.43,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Guava,fruit,66.2,2.71,14.08,1.1,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Papaya,fruit,41.5,0.47,10.74,0.15,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Orange,fruit,43.6,0.93,9,0.08,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Pineapple,fruit,46.5,0.46,12.73,0.02,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Pomegranate,fruit,82.3,1.75,21.15,1.22,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Lychee,fruit,66.8,0.79,15.04,0.4,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Custard apple,fruit,94.3,1.68,22.73,0.63,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Spinach (palak),vegetable,23,2.63,4.17,0.48,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Fenugreek (methi),vegetable,50.9,4.08,8.8,0.46,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Mustard greens (sarson),vegetable,27.8,3.41,4.2,0.64,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
